fold,f1,auc,brier,precision,recall
1,0.9978494623655914,0.9999579230833964,0.002522594894182624,1.0,0.9957081545064378
2,1.0,1.0,0.0017848604510454175,1.0,1.0
3,0.9978494623655914,0.9999435283487689,0.004528831359917159,1.0,0.9957081545064378
4,0.9956709956709957,1.0,0.0037245623783170837,1.0,0.9913793103448276
5,0.9978494623655914,0.9999154834347532,0.004108734824607819,0.9957081545064378,1.0
