fold,iter,split,metric,value
3,1,training,auc,0.8890304555073615
3,2,training,auc,0.9547155498930282
3,3,training,auc,0.9583238554954441
3,4,training,auc,0.9555209909796533
3,5,training,auc,0.9591361577125411
3,6,training,auc,0.9613016479322778
3,7,training,auc,0.9624143873084663
3,8,training,auc,0.9611087018172477
3,9,training,auc,0.9594721985757035
3,10,training,auc,0.9581964609918153
3,11,training,auc,0.9570946932431834
3,12,training,auc,0.958806514389954
3,13,training,auc,0.9597428732634231
3,14,training,auc,0.9590760146499352
3,15,training,auc,0.9600268375281832
3,16,training,auc,0.9611015007208514
3,17,training,auc,0.9603804948074223
3,18,training,auc,0.9608255102023155
3,19,training,auc,0.9618576158424615
3,20,training,auc,0.962460251802252
3,21,training,auc,0.9630419025927162
3,22,training,auc,0.9636834491978411
3,23,training,auc,0.9639698550360574
3,24,training,auc,0.9645795375622787
3,25,training,auc,0.9649560652764244
3,26,training,auc,0.9651252137767544
3,27,training,auc,0.9652050130509827
3,28,training,auc,0.965441536616308
3,29,training,auc,0.9660894807620083
3,30,training,auc,0.9664366786886859
3,31,training,auc,0.9668265886978514
3,32,training,auc,0.9674117009595445
3,33,training,auc,0.9670464848388797
3,34,training,auc,0.9676296500230064
3,35,training,auc,0.9679588606616899
3,36,training,auc,0.968421245224715
3,37,training,auc,0.9686212688121689
3,38,training,auc,0.9690384688132568
3,39,training,auc,0.9694668876898462
3,40,training,auc,0.9691324848443191
3,41,training,auc,0.9695902644143698
3,42,training,auc,0.9697769984247834
3,43,training,auc,0.9694883673550626
3,44,training,auc,0.9699024458508457
3,45,training,auc,0.9696920996616907
3,46,training,auc,0.9701241036334817
3,47,training,auc,0.9704515217245643
3,48,training,auc,0.9703074688906455
3,49,training,auc,0.970532464520538
3,50,training,auc,0.9702560722240917
3,51,training,auc,0.9702552068562844
3,52,training,auc,0.9701235164196124
3,53,training,auc,0.9703537351623418
3,54,training,auc,0.970326105204495
3,55,training,auc,0.970567048326836
3,56,training,auc,0.970546712183365
3,57,training,auc,0.9707953199919991
3,58,training,auc,0.9711477101255204
3,59,training,auc,0.9714536176453935
3,60,training,auc,0.9716800040449763
3,61,training,auc,0.971784404489726
3,62,training,auc,0.972055450049363
3,63,training,auc,0.9723394143141231
3,64,training,auc,0.972484796105746
3,65,training,auc,0.9725102317380814
3,66,training,auc,0.9727059902984851
3,67,training,auc,0.9730364989888796
3,68,training,auc,0.9732036385996569
3,69,training,auc,0.9734390186432368
3,70,training,auc,0.9733511219988117
3,71,training,auc,0.9736632107173083
3,72,training,auc,0.9735677111985764
3,73,training,auc,0.9739951410833861
3,74,training,auc,0.9741696363205253
3,75,training,auc,0.9744250434476451
3,76,training,auc,0.9745443405810772
3,77,training,auc,0.9748115537975677
3,78,training,auc,0.9750855972385372
3,79,training,auc,0.9751190375230898
3,80,training,auc,0.975321471778007
3,81,training,auc,0.9753962642813504
3,82,training,auc,0.9754669462876092
3,83,training,auc,0.97569361084113
3,84,training,auc,0.9757482835429543
3,85,training,auc,0.9758747817727826
3,86,training,auc,0.9762159221248092
3,87,training,auc,0.9762549873001093
3,88,training,auc,0.9765149685142105
3,89,training,auc,0.9765754206367475
3,90,training,auc,0.9767138794859122
3,91,training,auc,0.9768926397501015
3,92,training,auc,0.976892207066198
3,93,training,auc,0.9770078572924421
3,94,training,auc,0.9771028623152842
3,95,training,auc,0.9772574231868628
3,96,training,auc,0.9773411784282102
3,97,training,auc,0.9775365661166966
3,98,training,auc,0.9775748895481619
3,99,training,auc,0.9776463442042486
3,100,training,auc,0.97792199475686
3,101,training,auc,0.9780147127362114
3,102,training,auc,0.9780618134697219
3,103,training,auc,0.9781916804528
3,104,training,auc,0.9782431698373331
3,105,training,auc,0.9784235990251507
3,106,training,auc,0.9784669910394872
3,107,training,auc,0.9785577310352791
3,108,training,auc,0.9786350887360512
3,109,training,auc,0.9788374611789821
3,110,training,auc,0.9789214636682744
3,111,training,auc,0.9790465711284124
3,112,training,auc,0.9791271121464756
3,113,training,auc,0.979205613368993
3,114,training,auc,0.9791490554015888
3,115,training,auc,0.9791358894485209
3,116,training,auc,0.9793191001757191
3,117,training,auc,0.9794131162067814
3,118,training,auc,0.9794524286300264
3,119,training,auc,0.9795899602993975
3,120,training,auc,0.979677177011974
3,121,training,auc,0.9797737273344719
3,122,training,auc,0.9797595723896242
3,123,training,auc,0.9798229296755143
3,124,training,auc,0.9800723719459625
3,125,training,auc,0.9801223160308398
3,126,training,auc,0.9801089028298269
3,127,training,auc,0.980313995000152
3,128,training,auc,0.9803929289065731
3,129,training,auc,0.9805477061201037
3,130,training,auc,0.9806756260256154
3,131,training,auc,0.9807664896453797
3,132,training,auc,0.980813528566904
3,133,training,auc,0.9808023096914025
3,134,training,auc,0.9809448790376517
3,135,training,auc,0.9809927833269831
3,136,training,auc,0.981013057658468
3,137,training,auc,0.9811455825569542
3,138,training,auc,0.9812414529476035
3,139,training,auc,0.9812803635929379
3,140,training,auc,0.9813868038332333
3,141,training,auc,0.9814772038631008
3,142,training,auc,0.981570663586287
3,143,training,auc,0.9815990352879684
3,144,training,auc,0.9817775483042129
3,145,training,auc,0.9820045837296512
3,146,training,auc,0.9821520671288061
3,147,training,auc,0.9821910704921198
3,148,training,auc,0.9822144354229164
3,149,training,auc,0.9824108121031825
3,150,training,auc,0.9824205783970075
3,151,training,auc,0.9824140263264667
3,152,training,auc,0.9823807096658864
3,153,training,auc,0.9824903023174797
3,154,training,auc,0.9826297501584241
3,155,training,auc,0.982684082894324
3,156,training,auc,0.9826844537662414
3,157,training,auc,0.9828073978068613
3,158,training,auc,0.9828559202160552
3,159,training,auc,0.9829792969405786
3,160,training,auc,0.9829985822802837
3,161,training,auc,0.9830895695240205
3,162,training,auc,0.9831541630496353
3,163,training,auc,0.983195515268426
3,164,training,auc,0.983311907238505
