epoch,val_logloss,val_auc,val_prauc
1,0.4958998113385203,0.936834308848062,0.9824870190281784
2,0.4781960380572826,0.9378365229154492,0.9830520548927179
3,0.46226268925974273,0.9377223090774786,0.9833681509840324
4,0.448005288462603,0.9362345625906665,0.9831254372009877
5,0.43497414141510166,0.9378399839408422,0.9835544340832584
6,0.42289676269913673,0.9388797748553539,0.983820750811133
7,0.4119179660822655,0.9391210577684692,0.9838804627197478
8,0.401937744264037,0.9387527057802091,0.9838015673588306
9,0.392603455472028,0.9385094451382976,0.983755945794056
10,0.38405826835149615,0.9394721046297643,0.9841749398336829
11,0.3761614460998591,0.9396149955352773,0.9842025766390053
12,0.36898096299341215,0.9388792804231548,0.984080568860042
13,0.3622140570484815,0.9385509774430142,0.9840082424804678
14,0.355942397500603,0.9381860864801471,0.9839311829336114
15,0.3500158500368224,0.93818460318355,0.9839375148051549
16,0.3445435865686138,0.9380090797529026,0.9839052465393532
17,0.33940800711658126,0.9379986966767234,0.9838955350889642
18,0.3345939549031313,0.9376392444680454,0.9838153645023051
19,0.33006741254758526,0.937683248933757,0.9838358431819197
20,0.3258276195788418,0.9377890574243445,0.9838591075951133
21,0.3219197439059424,0.9376773157473689,0.9838285295474106
22,0.3182936683284942,0.9373900506397458,0.9837579649636019
23,0.3148162958578053,0.9374058724701141,0.9837729636325475
24,0.31162152147749006,0.9373608791400044,0.9837599007677856
25,0.30863366937028963,0.9373050083015166,0.9837503134417492
26,0.3057626421698446,0.9371868390059539,0.9837320108235512
27,0.3031317689602814,0.9372565539460139,0.9837560260923919
28,0.3004694522477489,0.9373668123263925,0.9837841208032029
29,0.2981429558555149,0.9372338100648596,0.9837513268272235
30,0.29586375379247437,0.9374211998682833,0.9837933848658288
31,0.2937195862516083,0.9374825094609601,0.9838107592598325
32,0.29180088348255945,0.9372105717515062,0.9837444840243027
33,0.28996987608578495,0.9371472844300334,0.9837301891297402
34,0.28822643249822694,0.937406861334512,0.9837854806360099
35,0.28650428949091994,0.9377109371369013,0.9838529468395438
36,0.28499059045678277,0.9376990707641252,0.9838504628679594
37,0.2835768347550991,0.9375982065955277,0.9838257491176813
38,0.28239625838605825,0.9372189770988895,0.9837329048503417
39,0.2811023672518024,0.9372743535051782,0.9837388644025817
40,0.2800722538009674,0.9367977208653354,0.9836359619690586
41,0.27910467906620795,0.9367888210857533,0.9836348071874992
42,0.2782074110699471,0.9367729992553852,0.9836305316861229
